tplot	xplot	yplot	zplot
70.6	2.4968	3.89952	14.3726
70.7	4.87516	8.46035	12.9701
70.8	10.0218	16.5352	18.3464
70.9	14.872	15.9433	34.6096
71	10.3461	2.38148	36.4195
71.1	3.65199	-0.837823	28.0047
71.2	1.05587	-0.256423	21.3397
71.3	0.497158	0.272197	16.3416
71.4	0.587495	0.861528	12.5403
71.5	1.17275	2.11905	9.71545
71.6	2.79208	5.35329	8.07344
71.7	7.00476	13.3293	10.1693
71.8	14.9943	22.2758	26.9764
71.9	13.3335	5.23856	41.4419
72	4.40887	-3.165	31.6786
72.1	-0.400502	-3.13611	23.8647
72.2	-2.22849	-3.95903	18.7363
72.3	-4.2307	-6.99115	15.9044
72.4	-8.01857	-13.0098	17.6314
72.5	-13.0773	-16.828	28.6462
72.6	-12.1562	-7.40625	36.4971
72.7	-6.44165	-1.11636	30.8326
72.8	-2.93548	-1.15344	23.9643
72.9	-2.33759	-2.5648	18.7349
73	-3.38819	-5.23316	15.2862
73.1	-6.36599	-10.6573	15.0821
73.2	-11.7874	-17.4985	23.4521
73.3	-13.7878	-11.4972	36.5706
73.4	-8.33091	-1.49653	33.6225
73.5	-3.24335	-0.23696	25.9929
73.6	-1.72492	-1.19909	20.0308
73.7	-1.95804	-2.74473	15.6343
73.8	-3.51099	-5.95359	12.9865
73.9	-7.31337	-12.7046	14.3789
74	-13.578	-19.074	26.9984
74.1	-13.1181	-7.71112	38.5213
74.2	-6.2093	0.41076	31.8052
74.3	-1.81779	0.54224	24.1536
74.4	-0.637896	-0.0716073	18.4726
74.5	-0.512537	-0.589496	14.1617
74.6	-0.868984	-1.4817	10.9061
74.7	-1.95349	-3.67453	8.66268
74.8	-4.83749	-9.31967	8.53267
74.9	-11.565	-20.1305	17.5756
75	-16.1828	-14.3884	39.5921
75.1	-8.64919	1.70747	35.8587
75.2	-1.13728	3.1898	26.4149
75.3	1.45682	3.31711	20.3669
75.4	3.15277	5.28984	16.4885
75.5	6.04286	10.0737	15.7314
75.6	11.0982	16.6212	22.6122
75.7	13.7316	12.5578	35.3669
75.8	9.03053	2.47637	34.0852
75.9	3.87629	0.639406	26.7175
76	2.19728	1.64438	20.7138
76.1	2.51026	3.49341	16.3566
76.2	4.38313	7.27588	14.1152
76.3	8.6626	14.3494	17.0908
76.4	14.0787	17.3334	30.827
76.5	11.6941	5.25456	37.1831
76.6	5.18987	-0.0586791	29.8354
76.7	1.93954	0.324874	22.8495
76.8	1.33862	1.33211	17.5993
76.9	1.92083	3.01527	13.7721
77	3.83504	6.78678	11.7557
77.1	8.36031	14.6358	14.7874
77.2	14.8109	19.056	30.7587
77.3	12.0391	4.38629	38.6049
77.4	4.49485	-1.40341	30.0356
77.5	0.847062	-1.11134	22.7431
77.6	-0.225718	-0.987427	17.4028
77.7	-0.848265	-1.62651	13.3946
77.8	-1.9278	-3.56667	10.5714
77.9	-4.53759	-8.53782	9.78539
78	-10.5138	-18.3312	16.6399
78.1	-16.035	-16.3705	37.1437
78.2	-9.80899	0.167596	36.8281
78.3	-2.0903	2.61472	27.301
78.4	0.682695	2.44342	20.8336
78.5	2.05459	3.63267	16.3422
78.6	4.12412	7.11207	13.9652
78.7	8.38737	14.0882	16.6014
78.8	14.0176	17.7167	30.2021
78.9	11.9503	5.64381	37.4639
79	5.35299	-0.129361	30.1813
79.1	1.91223	0.172188	23.0811
79.2	1.20995	1.10058	17.7477
79.3	1.65914	2.5622	13.8084
79.4	3.28631	5.82263	11.4605
79.5	7.28235	13.0382	13.1462
79.6	14.0955	20.0601	27.2362
79.7	13.1794	6.86202	39.4488
79.8	5.61078	-1.30112	31.6758
79.9	1.11295	-1.32958	23.8966
80	-0.241817	-1.15857	18.2738
80.1	-0.963533	-1.83527	14.081
80.2	-2.1465	-3.92596	11.1736
80.3	-4.94272	-9.17914	10.5681
80.4	-11.0762	-18.7606	18.3081
80.5	-15.654	-14.8583	37.79
80.6	-9.23559	0.179102	35.9834
80.7	-2.10947	2.15695	26.8311
80.8	0.367957	1.90684	20.4524
80.9	1.50813	2.78161	15.8734
81	3.15275	5.55621	13.0046
81.1	6.7395	11.8716	13.7408
81.2	13.0272	19.1592	25.1005
81.3	13.6909	9.27028	38.5249
81.4	6.93751	-0.204997	32.7361
81.5	2.02769	-0.681824	24.8337
81.6	0.62362	-0.079865	18.9776
81.7	0.388953	0.344477	14.5388
81.8	0.580597	0.946124	11.161
81.9	1.26703	2.36535	8.67808
82	3.14059	6.11248	7.44466
82.1	8.0062	15.1859	10.9072
82.2	16.1483	21.8841	31.1027
82.3	12.1362	1.75104	40.7829
82.4	2.7188	-3.95184	29.9858
82.5	-1.36247	-3.86163	22.9131
82.6	-3.27192	-5.36732	18.5308
82.7	-5.88172	-9.42361	17.174
82.8	-10.2749	-15.1862	22.2437
82.9	-13.2416	-13.2572	33.3965
83	-9.76136	-4.12392	34.1719
83.1	-4.91387	-1.53859	27.6457
83.2	-3.08571	-2.5193	21.7901
83.3	-3.52142	-4.7935	17.6853
83.4	-5.81148	-9.20662	16.3678
83.5	-10.3086	-15.4919	21.6074
83.6	-13.5529	-13.6738	33.6983
83.7	-9.84817	-3.79309	34.5737
83.8	-4.67427	-1.10333	27.6852
83.9	-2.71539	-2.02941	21.6322
84	-3.00038	-4.05608	17.2782
84.1	-5.01421	-8.08971	15.3222
84.2	-9.37092	-14.8494	19.1499
84.3	-13.8599	-15.7211	32.1773
84.4	-10.9086	-4.66129	35.9768
84.5	-5.0329	-0.571966	28.92
84.6	-2.37794	-1.18647	22.3677
84.7	-2.18691	-2.68786	17.4802
84.8	-3.48095	-5.60519	14.3816
84.9	-6.82759	-11.5959	14.8916
85	-12.6073	-18.2244	25.0991
85.1	-13.5043	-9.78892	37.5471
85.2	-7.38069	-0.640748	32.7574
85.3	-2.64352	-0.000323465	25.1069
85.4	-1.35514	-0.900376	19.2875
85.5	-1.55057	-2.19906	14.9526
85.6	-2.85357	-4.92266	12.1176
85.7	-6.17755	-11.0801	12.4226
85.8	-12.6241	-19.5351	23.0313
85.9	-14.3768	-10.7055	38.8565
86	-7.48704	0.437788	33.6916
86.1	-1.9041	1.24788	25.3936
86.2	-0.172012	0.835717	19.3736
86.3	0.441382	1.03371	14.8549
86.4	1.10298	2.05656	11.4832
86.5	2.57065	4.84731	9.3407
86.6	6.23771	11.7583	10.3319
86.7	13.6254	21.4071	23.5819
86.8	14.3879	8.85964	40.7913
86.9	6.25957	-2.08651	33.199
87	0.661513	-2.45284	24.8159
87.1	-1.21487	-2.67305	19.1178
87.2	-2.64559	-4.53833	15.2623
87.3	-5.32028	-9.17808	14.0744
87.4	-10.5221	-16.7442	20.1515
87.5	-14.4536	-14.4746	35.1572
87.6	-9.76814	-2.33813	35.4366
87.7	-3.7059	0.246993	27.4433
87.8	-1.49728	-0.493092	21.0255
87.9	-1.2843	-1.53764	16.2107
88	-2.09728	-3.47101	12.7704
88.1	-4.40761	-7.93513	11.3755
88.2	-9.66943	-16.6337	16.4732
88.3	-15.4329	-17.3434	34.5158
88.4	-10.7109	-1.85584	37.388
88.5	-3.24876	1.73966	28.2986
88.6	-0.30461	1.33857	21.4815
88.7	0.689634	1.57305	16.4913
88.8	1.63412	2.95789	12.8642
88.9	3.61717	6.62696	10.9403
89	8.21156	14.666	13.9493
89.1	15.0299	19.6864	30.6096
89.2	12.1624	4.10737	39.1119
89.3	4.26161	-1.86593	30.1357
89.4	0.470365	-1.61524	22.7809
89.5	-0.773766	-1.80372	17.492
89.6	-1.8199	-3.24839	13.689
89.7	-3.91563	-7.05993	11.7649
89.8	-8.60666	-15.0349	15.1609
89.9	-14.9491	-18.7539	31.5476
90	-11.7736	-3.85139	38.3722
90.1	-4.24277	1.44818	29.6689
90.2	-0.76195	1.11009	22.4783
90.3	0.270278	1.02507	17.2053
90.4	0.911286	1.72988	13.253
90.5	2.06469	3.82016	10.508
90.6	4.86039	9.12731	9.98537
90.7	11.115	19.0293	17.9043
90.8	15.8476	14.98	38.1463
90.9	9.18307	-0.552479	36.0787
91	1.87346	-2.46518	26.784
91.1	-0.668007	-2.31067	20.4567
91.2	-1.97186	-3.49918	16.0222
91.3	-3.99959	-6.94555	13.631
91.4	-8.24651	-13.9862	16.1363
91.5	-14.0625	-18.0578	29.8918
91.6	-12.1077	-5.75018	37.7395
91.7	-5.36307	0.299724	30.363
91.8	-1.79043	0.0411796	23.1685
91.9	-0.997536	-0.770846	17.7772
92	-1.27454	-1.91744	13.739
92.1	-2.49861	-4.43555	11.0318
92.2	-5.65574	-10.4053	11.0692
92.3	-12.2407	-19.8285	21.0543
92.4	-15.0333	-12.0492	39.1587
92.5	-7.95053	0.794334	34.5425
92.6	-1.6907	1.89087	25.8365
92.7	0.359442	1.67488	19.7258
92.8	1.36559	2.52997	15.2789
92.9	2.90481	5.17867	12.4183
93	6.35502	11.3735	12.8604
93.1	12.7777	19.4517	23.7622
93.2	14.1411	10.1819	38.7835
93.3	7.2822	-0.373986	33.3606
93.4	1.93468	-1.06208	25.1982
93.5	0.314853	-0.5931	19.231
93.6	-0.178008	-0.598044	14.7288
93.7	-0.573358	-1.11724	11.3106
93.8	-1.37913	-2.63323	8.82081
93.9	-3.44819	-6.70928	7.72251
94	-8.69098	-16.2553	12.0691
94.1	-16.4692	-20.7735	33.374
94.2	-11.4835	-0.548341	39.7406
94.3	-2.22138	3.90225	29.0574
94.4	1.48793	3.84581	22.2916
94.5	3.37731	5.53877	18.1124
94.6	6.12427	9.854	17.0945
94.7	10.6771	15.603	22.9268
94.8	13.2506	12.614	34.1099
94.9	9.34283	3.56665	33.8277
95	4.59323	1.44918	27.1291
95.1	2.9642	2.53431	21.3515
95.2	3.50699	4.87435	17.3445
95.3	5.90507	9.43462	16.1978
95.4	10.5382	15.8034	21.8918
95.5	13.6132	13.3703	34.183
95.6	9.62012	3.41249	34.4367
95.7	4.45015	0.983179	27.4002
95.8	2.58274	1.94855	21.3657
95.9	2.89291	3.95072	17.0233
96	4.89828	7.96439	15.0293
96.1	9.27768	14.8421	18.7652
96.2	13.9507	16.0199	32.0697
96.3	11.0234	4.6595	36.2098
96.4	5.00117	0.407313	29.0359
96.5	2.25115	0.98706	22.3994
96.6	1.98068	2.37336	17.4331
96.7	3.11968	5.02278	14.1464
96.8	6.18305	10.6436	14.004
96.9	11.9566	18.1788	22.9065
97	14.1307	11.6092	37.3169
97.1	8.20686	0.848452	33.8808
97.2	2.80053	-0.355623	25.9048
97.3	1.14697	0.418072	19.8343
97.4	1.05963	1.34051	15.2651
97.5	1.82633	3.09854	11.9603
97.6	3.97389	7.28648	10.4524
97.7	9.06279	16.0618	14.7799
97.8	15.6226	18.8173	33.3318
97.9	11.2956	2.12638	38.4073
98	3.28347	-2.25507	28.9306
98.1	-0.0447692	-1.95671	21.9357
98.2	-1.30758	-2.53835	16.9567
98.3	-2.75489	-4.81791	13.6425
98.4	-5.80923	-10.2496	13.2648
98.5	-11.6844	-18.3033	21.735
98.6	-14.5049	-12.4921	37.3695
98.7	-8.53793	-0.726875	34.4669
98.8	-2.71468	0.73517	26.2247
98.9	-0.843298	0.0829734	20.0233
99	-0.513361	-0.445108	15.343
99.1	-0.741709	-1.18906	11.7931
99.2	-1.5801	-2.91707	9.23464
99.3	-3.83712	-7.37746	8.26744
99.4	-9.42999	-17.2574	13.6056
99.5	-16.5285	-19.21	35.3178
99.6	-10.8195	0.101587	38.556
99.7	-2	3.56929	28.2408
99.8	1.34753	3.52205	21.6611
99.9	3.12933	5.21633	17.4795
